productCode,productName,productSlug,sku,colour,size,quantity,unitCostZar,lineTransferValueZar,approvedSellingPriceZar,costBasis,sourceFamily,basisNote,provisional,seller,buyer,legalSellerAfterTransfer,brand,category,enabled,availability
P010,KS Active Cutout Crossback Bra,ks-active-cutout-crossback-bra,KS-ARCH-P010-PEAYE-S,Peach Yellow,S,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-crisscross-cut-out-back-sports-bra,seamless-crisscross-cut-out-back-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P010,KS Active Cutout Crossback Bra,ks-active-cutout-crossback-bra,KS-ARCH-P010-PEAGR-M,Pearl Gray,M,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-crisscross-cut-out-back-sports-bra,seamless-crisscross-cut-out-back-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P010,KS Active Cutout Crossback Bra,ks-active-cutout-crossback-bra,KS-ARCH-P010-PEAGR-S,Pearl Gray,S,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-crisscross-cut-out-back-sports-bra,seamless-crisscross-cut-out-back-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P012,KS Active Scrunch Seamless Short,ks-active-scrunch-seamless-short,KS-ARCH-P012-EGYBL-L,Egyptian Blue,L,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-breathable-scrunch-butt-shorts,seamless-breathable-scrunch-butt-shorts,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P012,KS Active Scrunch Seamless Short,ks-active-scrunch-seamless-short,KS-ARCH-P012-EGYBL-M,Egyptian Blue,M,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-breathable-scrunch-butt-shorts,seamless-breathable-scrunch-butt-shorts,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P012,KS Active Scrunch Seamless Short,ks-active-scrunch-seamless-short,KS-ARCH-P012-IMPRE-L,Imperial Red,L,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-breathable-scrunch-butt-shorts,seamless-breathable-scrunch-butt-shorts,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P012,KS Active Scrunch Seamless Short,ks-active-scrunch-seamless-short,KS-ARCH-P012-IMPRE-S,Imperial Red,S,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-breathable-scrunch-butt-shorts,seamless-breathable-scrunch-butt-shorts,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P012,KS Active Scrunch Seamless Short,ks-active-scrunch-seamless-short,KS-ARCH-P012-PEAYE-L,Peach Yellow,L,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-breathable-scrunch-butt-shorts,seamless-breathable-scrunch-butt-shorts,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P012,KS Active Scrunch Seamless Short,ks-active-scrunch-seamless-short,KS-ARCH-P012-PEAYE-M,Peach Yellow,M,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-breathable-scrunch-butt-shorts,seamless-breathable-scrunch-butt-shorts,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P012,KS Active Scrunch Seamless Short,ks-active-scrunch-seamless-short,KS-ARCH-P012-PEAYE-S,Peach Yellow,S,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-breathable-scrunch-butt-shorts,seamless-breathable-scrunch-butt-shorts,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
