Item Name,SKU,Item Description,Selling Price,Product Type,Item Type,Track Inventory,Status,Unit,Sellable,Purchasable,Sales Account,Purchase Description,Purchase Price,Purchase Account,Inventory Account,Opening Stock,Opening Stock Value,Preferred Vendor,Brand,CF.Product Code,CF.Category,CF.Colour,CF.Size
KS Active Cutout Crossback Bra - Imperial Red - L,KS-ARCH-P010-IMPRE-L,KS Active Archive item sold by KALM Collective. Product code: P010. Colour: Imperial Red. Size: L. Route: /product/ks-active-cutout-crossback-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P010.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P010,KS Active Archive,Imperial Red,L
KS Active Cutout Crossback Bra - Imperial Red - S,KS-ARCH-P010-IMPRE-S,KS Active Archive item sold by KALM Collective. Product code: P010. Colour: Imperial Red. Size: S. Route: /product/ks-active-cutout-crossback-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P010.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P010,KS Active Archive,Imperial Red,S
KS Active Cutout Crossback Bra - Peach Yellow - M,KS-ARCH-P010-PEAYE-M,KS Active Archive item sold by KALM Collective. Product code: P010. Colour: Peach Yellow. Size: M. Route: /product/ks-active-cutout-crossback-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P010.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P010,KS Active Archive,Peach Yellow,M
KS Active Cutout Crossback Bra - Peach Yellow - S,KS-ARCH-P010-PEAYE-S,KS Active Archive item sold by KALM Collective. Product code: P010. Colour: Peach Yellow. Size: S. Route: /product/ks-active-cutout-crossback-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P010.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P010,KS Active Archive,Peach Yellow,S
KS Active Cutout Crossback Bra - Pearl Gray - M,KS-ARCH-P010-PEAGR-M,KS Active Archive item sold by KALM Collective. Product code: P010. Colour: Pearl Gray. Size: M. Route: /product/ks-active-cutout-crossback-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P010.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P010,KS Active Archive,Pearl Gray,M
KS Active Cutout Crossback Bra - Pearl Gray - S,KS-ARCH-P010-PEAGR-S,KS Active Archive item sold by KALM Collective. Product code: P010. Colour: Pearl Gray. Size: S. Route: /product/ks-active-cutout-crossback-bra,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P010.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P010,KS Active Archive,Pearl Gray,S
KS Active Scrunch Seamless Short - Egyptian Blue - L,KS-ARCH-P012-EGYBL-L,KS Active Archive item sold by KALM Collective. Product code: P012. Colour: Egyptian Blue. Size: L. Route: /product/ks-active-scrunch-seamless-short,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P012.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P012,KS Active Archive,Egyptian Blue,L
KS Active Scrunch Seamless Short - Egyptian Blue - M,KS-ARCH-P012-EGYBL-M,KS Active Archive item sold by KALM Collective. Product code: P012. Colour: Egyptian Blue. Size: M. Route: /product/ks-active-scrunch-seamless-short,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P012.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P012,KS Active Archive,Egyptian Blue,M
KS Active Scrunch Seamless Short - Imperial Red - L,KS-ARCH-P012-IMPRE-L,KS Active Archive item sold by KALM Collective. Product code: P012. Colour: Imperial Red. Size: L. Route: /product/ks-active-scrunch-seamless-short,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P012.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P012,KS Active Archive,Imperial Red,L
KS Active Scrunch Seamless Short - Imperial Red - S,KS-ARCH-P012-IMPRE-S,KS Active Archive item sold by KALM Collective. Product code: P012. Colour: Imperial Red. Size: S. Route: /product/ks-active-scrunch-seamless-short,399.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P012.,130.00,Cost of Goods Sold,Inventory Asset,1,130.00,K SENTWA T/A KS ACTIVE,KS Active,P012,KS Active Archive,Imperial Red,S
