SKU,Item Name,Opening Stock,Opening Stock Value,Purchase Rate,Vendor,Brand,Category
KS-ARCH-P026-ELEVI-M,KS Active High-Waist Seamless Short - Electric Violet - M,1,100.00,100.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P026-FLMNG-S,KS Active High-Waist Seamless Short - Flamingo - S,1,100.00,100.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P026-TRUPU-M,KS Active High-Waist Seamless Short - True Purple - M,1,100.00,100.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P027-ESPRS-L,KS Active Curve Seam Legging - Espresso - L,2,298.70,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P027-ESPRS-M,KS Active Curve Seam Legging - Espresso - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P027-FORGR-M,KS Active Curve Seam Legging - Forest Green - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P027-FORGR-S,KS Active Curve Seam Legging - Forest Green - S,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P027-OLVOL-M,KS Active Curve Seam Legging - Olive - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P027-OLVOL-S,KS Active Curve Seam Legging - Olive - S,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P028-ELEVI-S,KS Active High-Waist Seamless Legging - Electric Violet - S,1,140.00,140.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P028-TRUPU-S,KS Active High-Waist Seamless Legging - True Purple - S,1,140.00,140.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P030-BLCKB-L,KS Active Crisscross Back Bra - Black - L,1,120.00,120.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P030-TRUPU-S,KS Active Crisscross Back Bra - True Purple - S,1,120.00,120.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-AZUBL-L,KS Active Panel Seamless Legging - Azure Blue - L,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-AZUBL-M,KS Active Panel Seamless Legging - Azure Blue - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-AZUBL-S,KS Active Panel Seamless Legging - Azure Blue - S,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-BYZVI-L,KS Active Panel Seamless Legging - Byzantine Violet - L,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-BYZVI-M,KS Active Panel Seamless Legging - Byzantine Violet - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-CNNMN-M,KS Active Panel Seamless Legging - Cinnamon - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-HUNGR-M,KS Active Panel Seamless Legging - Hunter Green - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-IROGR-L,KS Active Panel Seamless Legging - Iron Gray - L,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-IROGR-M,KS Active Panel Seamless Legging - Iron Gray - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-IROGR-S,KS Active Panel Seamless Legging - Iron Gray - S,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-JUNGR-L,KS Active Panel Seamless Legging - Jungle Green - L,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-JUNGR-M,KS Active Panel Seamless Legging - Jungle Green - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-JUNGR-S,KS Active Panel Seamless Legging - Jungle Green - S,2,298.70,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-MVMAU-M,KS Active Panel Seamless Legging - Mauve - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P033-PINGR-L,KS Active Panel Seamless Legging - Pine Green - L,3,448.05,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P035-IMPRE-L,KS Active Scrunch Seamless Legging - Imperial Red - L,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P035-IMPRE-S,KS Active Scrunch Seamless Legging - Imperial Red - S,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P035-PEAYE-M,KS Active Scrunch Seamless Legging - Peach Yellow - M,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P035-PEAGR-L,KS Active Scrunch Seamless Legging - Pearl Gray - L,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P035-PEAGR-M,KS Active Scrunch Seamless Legging - Pearl Gray - M,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P049-BRGRE-S,KS Active Rib Contour Legging - Bright Green - S,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P049-WHITE-M,KS Active Rib Contour Legging - White - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P049-PEAYEL-M,KS Active Rib Contour Legging - Peach Yellow - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P049-EGYBLU-M,KS Active Rib Contour Legging - Egyptian Blue - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P049-GRAY-M,KS Active Rib Contour Legging - Gray - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P049-RED-M,KS Active Rib Contour Legging - Red - M,2,298.70,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-DKGRN-S,KS Active Racer Knit Bra - Dark Green - S,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-ESPRS-M,KS Active Racer Knit Bra - Espresso - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-ESPRS-L,KS Active Racer Knit Bra - Espresso - L,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-IRNBL-S,KS Active Racer Knit Bra - Iron Blue - S,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-IRNBL-M,KS Active Racer Knit Bra - Iron Blue - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-IRNBL-L,KS Active Racer Knit Bra - Iron Blue - L,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-PLUM-M,KS Active Racer Knit Bra - Plum - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-PLUM-L,KS Active Racer Knit Bra - Plum - L,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-VIOLT-S,KS Active Racer Knit Bra - Violet - S,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-VIOLT-M,KS Active Racer Knit Bra - Violet - M,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P050-VIOLT-L,KS Active Racer Knit Bra - Violet - L,1,149.35,149.35,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
